ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude
Tiv,Tiv,,6.88039,9.26287,tivv1240,,0,Bantoid,802,Tiv,Tiv,0,5,7.5
Ama,Ama,,,,,,0,Bantoid,805,Ama,Amasi,9,6.1,9.75
Amb,Amb,,5.94043,9.62028,ambe1247,,0,Bantoid,806,Amb,Ambele,9,6.95,9.55
Asu,Asu,,6.50437,9.53302,iyiv1238,,0,Bantoid,894,Asu,Asumbo,14,6.3,9.5
Bang,Bang,,,,bato1244,,0,Bantoid,951,Bang,Bangangte,1,5.6,10.2
Mif,Mif,,,,,,0,Bantoid,900a,Mif,Miﬁ,3,5.2,10.3
Band,Band,,5.39619,10.352,ghom1247,,0,Bantoid,900b,Band,Bandjoun,0,5.3,10.3
Dsc,Dsc,,5.47421,10.0214,yemb1246,,0,Bantoid,900c,Dsc,Dschang,0,5.4,10.1
Fef1,Fef1,,5.18158,10.1442,fefe1239,,0,Bantoid,970a,Fef1,Fefe,0,5.3,10.2
Baf,Baf,,5.18158,10.1442,fefe1239,,0,Bantoid,970b,Baf,Bafang,1,5.1,10.2
A_Mbo,A_Mbo,,5.13981,9.92766,mboc1235,,A,North-West,A15g,A-Mbo,Mbo,0,4.8,10
A_Dua,A_Dua,,4.10208,9.61877,dual1243,,A,North-West,A24,A-Dua,Duala,0,3.8,9.7
A_Pon,A_Pon,,,,pong1251,,A,North-West,A26,A-Pon,Pongo,0,4.1,9.7
A_Lim,A_Lim,,3.67696,9.67186,mali1280,,A,North-West,A27,A-Lim,Limba,0,3.9,9.5
A_Bub,A_Bub,,3.53638,8.68929,bube1242,,A,Buneya,A31,A-Bub,Bubi,4,3.5,8.8
A_Noh,A_Noh,,1.397041,9.51011,bata1285,,A,North-West,A32a,A-Noh,Noho,9,3.1,10
A_Tan,A_Tan,,1.397041,9.51011,bata1285,,A,North-West,A32c,A-Tan,Tanga,0,3.3,10
A_Be1,A_Be1,,1.075766,9.600739,beng1282,,A,North-West,A34,A-Be1,Benga,0,0.5,9.7
A_Bas,A_Bas,,3.80765,10.4213,basa1284,,A,Buneya,A43a,A-Bas,Basaa,0,3.6,11
A_Kok,A_Kok,,3.56518,9.99905,bako1249,,A,Buneya,A43b,A-Kok,Koko,0,3.5,10
A_Nen,A_Nen,,4.75,10.67,tune1261,,A,Buneya,A44,A-Nen,Nen,0,4.7,10.9
A_Lef,A_Lef,,5.05845,11.114,lefa1242,,A,Buneya,A51,A-Lef,Lefa,17,5,11.2
A_Maj,A_Maj,,5.05845,11.114,lefa1242,,A,Buneya,A51,A-Maj,Maja,6,4.8,11.2
A_Tum,A_Tum,,5.05845,11.114,lefa1242,,A,Buneya,A51,A-Tum,Tumi,4,4.9,11.1
A_Kpa,A_Kpa,,,,kpaa1242,,A,Buneya,A53,A-Kpa,Kpa,1,4.6,11.1
A_Rop,A_Rop,,,,,,A,Buneya,A53,A-Rop,Rope,2,4.6,11.1
A_Nja,A_Nja,,5.30535,11.3103,tibe1274,,A,Buneya,A54,A-Nja,Njanti,6,5,11.3
A_Tuk,A_Tuk,,4.64348,11.5353,tuki1240,,A,Buneya,A61a,A-Tuk,Tuki,3,4.5,11.4
A_Gun,A_Gun,,4.63103,11.1837,nugu1242,,A,Buneya,A62a,A-Gun,Gunu,11,4.6,11.3
A_Mma,A_Mma,,4.52188,11.0599,mmaa1238,,A,Buneya,A62b,A-Mma,Mmala,7,4.5,11.2
A_Kal,A_Kal,,4.41971,11.0277,yang1293,,A,Buneya,A62d,A-Kal,Kalonge,0,4.3,11.1
A_Eto,A_Eto,,4.21045,11.3935,eton1253,,A,North-West,A71,A-Eto,Eton,0,4,11.2
A_Ndo,A_Ndo,,,,,,A,North-West,A71a,A-Ndo,Ndongo,0,3.9,11.3
A_Ewo,A_Ewo,,4.21141,11.93646,ewon1239,,A,North-West,A72a,A-Ewo,Ewondo,0,3.9,11.5
A_Yao,A_Yao,,4.21141,11.93646,ewon1239,,A,North-West,A72a,A-Yao,Yaounde,0,3.6,11.2
A_Yas,A_Yas,,,,,,A,North-West,A72d,A-Yas,Yasem,3,4.4,11.7
A_Bul,A_Bul,,3.16141,11.6365,bulu1251,,A,North-West,A74a,A-Bul,Bulu,1,3,11.5
A_Fan,A_Fan,,1.723965,11.61454,fang1246,,A,North-West,A75,A-Fan,Fang,2,2.1,14.1
A_Mak,A_Mak,,,,make1249,,A,North-West,A75,A-Mak,Make,3,-0.5,10
A_Ntu,A_Ntu,,,,ntum1238,,A,North-West,A75,A-Ntu,Ntum,1,1.62,11.6
A_Kw1,A_Kw1,,2.9095,16.267,ukhw1241,,A,North-West,A80,A-Kw1,Kwejo,0,3.5,16.2
A_Kw2,A_Kw2,,,,,,A,North-West,A80,A-Kw2,Kweso,5,1.8,16.3
A_Koo,A_Koo,,3.25933,13.54152,koon1245,,A,North-West,A84,A-Koo,Koozime,0,3.4,13
A_Bek,A_Bek,,1.71801,14.6527,bekw1242,,A,North-West,A85b,A-Bek,Bekwil,0,1.8,14.2
A_Mpy,A_Mpy,,3.45776,15.5246,mpie1238,,A,North-West,A86c,A-Mpy,Mpyemo,0,3.5,15
A_Bom,A_Bom,,1.71005,15.9546,bomw1238,,A,North-West,A87,A-Bom,Bomwali,3,1.55,15.7
A_San,A_San,,,,,,A,North-West,A87,A-San,Sangasanga,5,2.2,15.15
A_Pom,A_Pom,,4.243,13.446,pomo1271,,A,North-West,A92,A-Pom,Pomo,2,1.7,16.2
