ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,substitutions,de_Filippo_2012
posterior-1,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-2,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-3,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-4,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-5,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-6,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-7,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-8,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-9,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-10,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-11,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-12,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-13,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-14,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-15,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-16,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-17,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-18,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-19,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-20,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-21,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-22,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-23,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-24,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-25,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-26,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-27,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-28,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-29,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-30,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-31,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-32,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-33,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-34,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-35,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-36,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-37,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-38,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-39,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-40,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-41,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-42,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-43,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-44,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-45,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-46,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-47,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-48,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-49,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-50,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-51,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-52,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-53,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-54,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-55,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-56,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-57,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-58,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-59,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-60,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-61,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-62,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-63,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-64,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-65,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
posterior-66,,posterior.trees,,sample,bayesian,substitutions,de_Filippo_2012
