taxon,xd_ids,soc_ids,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude,glottocode
Tiv,xd320,"Ah3, SCCS16",0,Bantoid,802,Tiv,Tiv,0,5,7.5,tivv1240
Ama,,,0,Bantoid,805,Ama,Amasi,9,6.1,9.75,
Amb,,,0,Bantoid,806,Amb,Ambele,9,6.95,9.55,ambe1247
Asu,,,0,Bantoid,894,Asu,Asumbo,14,6.3,9.5,iyiv1238
Bang,,,0,Bantoid,951,Bang,Bangangte,1,5.6,10.2,bato1244
Mif,,,0,Bantoid,900a,Mif,Miﬁ,3,5.2,10.3,
Band,,,0,Bantoid,900b,Band,Bandjoun,0,5.3,10.3,ghom1247
Dsc,,,0,Bantoid,900c,Dsc,Dschang,0,5.4,10.1,yemb1246
Fef1,xd171,Ae5,0,Bantoid,970a,Fef1,Fefe,0,5.3,10.2,fefe1239
Baf,xd171,Ae5,0,Bantoid,970b,Baf,Bafang,1,5.1,10.2,fefe1239
A_Mbo,,,A,North-West,A15g,A-Mbo,Mbo,0,4.8,10,mboc1235
A_Dua,xd130,Ae12,A,North-West,A24,A-Dua,Duala,0,3.8,9.7,dual1243
A_Pon,,,A,North-West,A26,A-Pon,Pongo,0,4.1,9.7,pong1251
A_Lim,,,A,North-West,A27,A-Lim,Limba,0,3.9,9.5,mali1280
A_Bub,xd165,Ae44,A,Buneya,A31,A-Bub,Bubi,4,3.5,8.8,bube1242
A_Noh,xd168,Ae47,A,North-West,A32a,A-Noh,Noho,9,3.1,10,bata1285
A_Tan,xd168,Ae47,A,North-West,A32c,A-Tan,Tanga,0,3.3,10,bata1285
A_Be1,,,A,North-West,A34,A-Be1,Benga,0,0.5,9.7,beng1282
A_Bas,,,A,Buneya,A43a,A-Bas,Basaa,0,3.6,11,basa1284
A_Kok,xd175,Ae53,A,Buneya,A43b,A-Kok,Koko,0,3.5,10,bako1249
A_Nen,xd173,"Ae51, SCCS15",A,Buneya,A44,A-Nen,Nen,0,4.7,10.9,tune1261
A_Lef,,,A,Buneya,A51,A-Lef,Lefa,17,5,11.2,lefa1242
A_Maj,,,A,Buneya,A51,A-Maj,Maja,6,4.8,11.2,lefa1242
A_Tum,,,A,Buneya,A51,A-Tum,Tumi,4,4.9,11.1,lefa1242
A_Kpa,,,A,Buneya,A53,A-Kpa,Kpa,1,4.6,11.1,kpaa1242
A_Rop,,,A,Buneya,A53,A-Rop,Rope,2,4.6,11.1,
A_Nja,,,A,Buneya,A54,A-Nja,Njanti,6,5,11.3,tibe1274
A_Tuk,,,A,Buneya,A61a,A-Tuk,Tuki,3,4.5,11.4,tuki1240
A_Gun,,,A,Buneya,A62a,A-Gun,Gunu,11,4.6,11.3,nugu1242
A_Mma,,,A,Buneya,A62b,A-Mma,Mmala,7,4.5,11.2,mmaa1238
A_Kal,,,A,Buneya,A62d,A-Kal,Kalonge,0,4.3,11.1,yang1293
A_Eto,,,A,North-West,A71,A-Eto,Eton,0,4,11.2,eton1253
A_Ndo,,,A,North-West,A71a,A-Ndo,Ndongo,0,3.9,11.3,
A_Ewo,,,A,North-West,A72a,A-Ewo,Ewondo,0,3.9,11.5,ewon1239
A_Yao,,,A,North-West,A72a,A-Yao,Yaounde,0,3.6,11.2,ewon1239
A_Yas,,,A,North-West,A72d,A-Yas,Yasem,3,4.4,11.7,
A_Bul,,,A,North-West,A74a,A-Bul,Bulu,1,3,11.5,bulu1251
A_Fan,xd149,Ae3,A,North-West,A75,A-Fan,Fang,2,2.1,14.1,fang1246
A_Mak,,,A,North-West,A75,A-Mak,Make,3,-0.5,10,make1249
A_Ntu,,,A,North-West,A75,A-Ntu,Ntum,1,1.62,11.6,ntum1238
A_Kw1,,,A,North-West,A80,A-Kw1,Kwejo,0,3.5,16.2,ukhw1241
A_Kw2,,,A,North-West,A80,A-Kw2,Kweso,5,1.8,16.3,
A_Koo,,,A,North-West,A84,A-Koo,Koozime,0,3.4,13,koon1245
A_Bek,,,A,North-West,A85b,A-Bek,Bekwil,0,1.8,14.2,bekw1242
A_Mpy,,,A,North-West,A86c,A-Mpy,Mpyemo,0,3.5,15,mpie1238
A_Bom,xd164,Ae43,A,North-West,A87,A-Bom,Bomwali,3,1.55,15.7,bomw1238
A_San,,,A,North-West,A87,A-San,Sangasanga,5,2.2,15.15,
A_Pom,,,A,North-West,A92,A-Pom,Pomo,2,1.7,16.2,pomo1271
A_Ka2,,,A,North-West,A93a,A-Ka2,Kako,0,4.1,15.2,kako1242
